Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Infant mortality rate,Education Index,Total
Iran,44th,8,9.4,8.5,6.9,6.1,6.2,8.9,5,9.3,5.4,6.5,7,9.19,9.19,8.26,5.9255,3.93,9.06,Warning
Nepal,35th,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4,8.04,8.04,6.94,7.3235,1.99,7.97,Warning
Mauritania,26th,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5,4.73,4.73,6.51,5.6985,0.62,4.45,Warning
Togo,47th,7,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8,7.1,6.5,9.09,9.09,7.11,8.2705,0.86,8.52,Warning
Venezuela,74th,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3,7.64,7.64,7.04,8.4935,5.36,6.66,Warning
Timor-Leste,35th,7.7,8.3,6.5,8.4,6.7,7,7.4,8.4,5.8,8.9,6.8,8.7,5.41,5.41,6.35,8.2365,0.36,5.45,Warning
Ethiopia,20th,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9,4.18,4.18,6.37,4.533,3.5,2.67,Warning
Eritrea,24th,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2,6.78,6.78,7.3,5.389,1.49,5.84,Warning
Kyrgyz Republic,62nd,6.8,8,8.4,7,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9,7.93,7.93,6.94,7.4995,3.66,8.05,Warning
North Korea,29th,8.6,8.5,6.3,9,8,4.2,10,8.9,9.7,7.5,4.3,8.8,9.23,9.23,6.96,4.926,2.97,8.97,Warning
Libya,25th,9.3,9.1,7.8,8,6.1,6.4,9.8,7.5,9,5.4,7.4,9.5,5.82,5.82,7.06,2.414,5.23,4.74,Warning
Lebanon,40th,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2,8.99,8.99,7.03,6.1295,0.3,8.67,Warning
Cameroon,28th,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7,6.46,6.46,7.33,3.1654,2.13,5.31,Warning
Egypt,38th,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1,7.18,7.18,7.35,3.9275,2.62,6.22,Warning
Laos,55th,6,8.3,6.3,5.5,6.9,7.4,9,7.7,8.1,7.1,5.6,6.6,5.5,5.5,6.16,5.5105,4.46,5.18,Warning
Cambodia,42nd,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4,4.06,4.06,5.67,4.6905,5.58,3.95,Warning
Angola,42nd,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6,8.57,8.57,8.13,3.3445,0.21,7.18,Warning
Gambia,51st,6,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5,8.94,8.94,8.22,5.228,0.36,8.32,Warning
Solomon Islands,50th,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8,5.65,5.65,7.34,6.447,1.7,4.89,Warning
Sierra Leone,31st,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8,7.62,7.62,6.42,6.4695,0.85,6.59,Warning
Madagascar,56th,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3,4.27,4.27,4.98,4.8335,5.47,4.23,Warning
Colombia,61st,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5,7.34,7.34,7.58,4.3605,0.98,6.31,Warning
Mozambique,46th,7,6.9,5.9,7.8,8.6,7.4,7.2,9,6.1,8.7,5,7.3,6.37,6.37,7.68,3.51,2.94,6.49,Warning
Congo Republic,33rd,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6,5.9,5.9,6.23,4.2115,3.44,5.2,Warning
Sri Lanka,34th,7.9,9.1,9.3,5.9,7.6,7.8,8,5.6,8.8,6,8.2,6.4,9.24,9.24,5.09,7.795,0.6,8.14,Warning
Papua New Guinea,57th,6.9,7.1,6.3,6.2,9,7.1,6.9,8.7,6.6,7.3,4.6,6.7,9.48,9.48,5.28,6.4555,5.84,9.16,Warning
Israel and West Bank,68th,7,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6,7.4,7.6,7.74,7.74,7.54,5.4535,2.72,7.04,Warning
Djibouti,41st,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4,9.23,9.23,8.02,3.7005,0.3,9.23,Warning
Zambia,53rd,5,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6,7.48,7.48,6.56,8.426,1.26,8.03,Warning
Tanzania,63rd,5.5,5.7,5.7,6.7,7,7,6,8.7,6,8.8,6.4,7.3,4.88,4.88,8.26,8.441,3.44,3.18,Warning
Honduras,76th,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4,6.38,6.38,6.64,6.1185,3.26,5.72,Warning
Bosnia and Herzegovina,78th,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2,6.71,6.71,6.83,4.974,3.17,6.56,Warning
Georgia,70th,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3,6.94,6.94,6.44,6.335,3.7,6.18,Warning
Thailand,71st,8.9,10,8.5,4,5.8,4.1,8,4.9,7.7,6.9,6,4.3,7.23,7.23,7.49,7.9625,6.2,6.3,Warning
Swaziland,48th,6,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6,5.14,5.14,8.04,8.307,0.22,4.45,Warning
Bolivia,76th,6.6,8,6.5,5.4,8.6,6.4,7,6.9,5.9,6.7,3.8,6.2,6.04,6.04,6.95,4.263,2.83,4.52,Warning
Burkina Faso,39th,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5,7.92,7.92,7.42,3.675,0.97,7.78,Warning
Philippines,48th,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3,7.83,7.83,6.62,6.4175,1,8.08,Warning
Comoros,59th,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8,7.24,7.24,7.4,4.2875,1.41,6.3,Warning
Maldives,91st,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7,8.46,8.46,8,6.431,0.16,8.82,Warning
Algeria,67th,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4,7.43,7.43,7.48,4.47,2.2,6.58,Warning
India,69th,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8,5.4,5.3,9.16,9.16,8.4,5.5925,0.53,8.22,Warning
Equatorial Guinea,54th,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5,6.88,6.88,7.11,5.345,2.1,5.97,Warning
